folder,frame,caption
L01_V001,001.jpg,a sence in a city with a sunset and a city skyline. there are a lot of boats in the water at sunset
L01_V001,002.jpg,a sence in a news studio with a man and a woman. there are two men sitting at a table in a news studio
L01_V001,003.jpg,a sence in a news studio with a city in the background. there are two men standing on a news set with a city in the background
L01_V001,004.jpg,a sence in a red and white striped background with a clock. there are two clocks on a red and white striped background
L01_V001,005.jpg,a sence in a flooded area with a man sitting on a motorcycle. there are two people sitting on a bench in the middle of a flooded street
L01_V001,006.jpg,a sence in a river with a boat in the water. there are a lot of trees that are growing out of the water
L01_V001,007.jpg,"a sence in china, a construction crane is seen in this image. there are a lot of cranes that are on the building"
L01_V001,008.jpg,a sence iniciacion de voa do voa. there are a lot of red and white logos on a red background
L01_V001,009.jpg,a sence in a news studio with a television screen and a man in a tie. there are two people standing on a news set with a city in the background
L01_V001,010.jpg,a sence in a news studio with a man and a woman. there are two people standing in front of a news set
L01_V001,011.jpg,a sence in a white shirt and tie standing next to a man in a blue tie. there are two people standing in front of a tv screen
L01_V001,012.jpg,a sence in a tv screen shot of two men in a city. there are two men in a picture with a city in the background
L01_V001,013.jpg,a sence in a flooded area of a city with people walking. there are people walking through a flooded area in the rain
L01_V001,014.jpg,a sence in a video posted on the news channel shows a man walking down the street. there are two people walking down the street at night
L01_V001,015.jpg,a sence in a dark room with a green light on. there are two people walking down the street at night
L01_V001,016.jpg,a sence in a flooded area of a city with a truck driving through it. there are a lot of trucks that are driving through the water
L01_V001,017.jpg,a sence in a car is driving through a flooded street. there are people watching a truck driving through a flooded street
L01_V001,018.jpg,"a sence in china, a truck drives through a flooded street. there are cars driving through a flooded street in a city"
L01_V001,019.jpg,"a sence in china, a truck is stuck in a river. there are a lot of water that is flowing down the street"
L01_V001,020.jpg,a sence in a flooded area of a city with a boat. there are a lot of water that is in the river
L01_V001,021.jpg,"a sence in the philippines, a tree is submerged in a river. there are a lot of water that is in the river"
L01_V001,022.jpg,a sence in a video clip of a river with a bridge. there are many people on the water in the river
L01_V001,023.jpg,a sence in a safety vest is helping a man with a broken fence. there are two men in orange vests standing near a river
L01_V001,024.jpg,a sence in a video clip of a flooded road. there are a lot of water that is flowing down the street
L01_V001,025.jpg,a sence in a news program with a man and a woman. there are two asian people standing in front of a tv
L01_V001,026.jpg,a sence in a news program with a man and a woman. there are two asian people standing in front of a tv
L01_V001,027.jpg,a sence in a news program with a man and a woman. there are two asian people standing in front of a tv
L01_V001,028.jpg,a sence in a news program with a man and a woman. there are two asian men standing in front of a tv
L01_V001,029.jpg,a sence in a news program with a man and a woman. there are two asian people standing in front of a tv
L01_V001,030.jpg,a sence in a news program with a man and a woman. there are two asian men standing in front of a tv screen
L01_V001,031.jpg,"a sence in china, a man is seen walking along a cliff. there are a lot of trees that are growing on the side of the road"
L01_V001,032.jpg,a sence in a city with people standing on the sidewalk. there are many people standing outside of a building with umbrellas
L01_V001,033.jpg,a sence in a video posted on the internet shows a road that has been eroded over. there are a lot of trees that are growing on the side of the road
L01_V001,034.jpg,a sence in a news program with a picture of a man in a suit and tie. there are people standing in line to get on a bus
L01_V001,035.jpg,a sence in a news program with a man in a suit and tie. there are two people walking down the street with luggage
L01_V001,036.jpg,a sence in a news program with a picture of a man on a train track. there are two pictures of a man on a news program
L01_V001,037.jpg,a sence in a news program with a man and a woman. there are two asian people standing in front of a tv
L01_V001,038.jpg,a sence in a news program with a man and a woman. there are two asian men sitting at a table with a city in the background
L01_V001,039.jpg,a sence in a news program with a man and a woman. there are two asian men standing next to each other on a news set
L01_V001,040.jpg,a sence in a white shirt and tie is standing in front of a picture of a city. there are two pictures of a man in a tie and a picture of a city
L01_V001,041.jpg,a sence in the news about the flooding in the town of koh kra. there are many people standing on the beach near the water
L01_V001,042.jpg,a sence in a video posted by a tv camera shows a pile of garbage. there are many bags of garbage on the ground near a building
L01_V001,043.jpg,"a sence in china, a man walks along a road that has been destroyed by a fire. there are two people walking on a rocky path near a body of water"
L01_V001,044.jpg,a sence in a village in the philippines shows a house that was destroyed. there are a lot of debris on the ground outside of a house
L01_V001,045.jpg,a sence in a red background with a number 10 on it. there are a lot of red lines on the wall and a clock
L01_V001,046.jpg,a sence in a news studio with a man and a woman. there are two people standing on a news set with a city in the background
L01_V001,047.jpg,a sence in a news studio with a man and a woman. there are two people standing in a news studio with a city in the background
L01_V001,048.jpg,a sence in a news studio with a tv screen showing a picture of a city. there are two television screens with a woman in a blue skirt
L01_V001,049.jpg,a sence in a news studio with a tv screen and a woman in a blue skirt. there are two television screens with a woman in a blue skirt
L01_V001,050.jpg,a sence in a boat with two people on it in the water. there are two people in a boat on the water
L01_V001,051.jpg,a sence in the water with a boat and a man on it. there are two people on a boat in the water
L01_V001,052.jpg,a sence in a red hat points at the camera. there are a lot of people in the picture with hats on
L01_V001,053.jpg,a sence in a boat with a red hat and a red kite. there are two people in a boat on the water
L01_V001,054.jpg,a sence in the water with a boat and a kite. there are two people on a boat being pulled by a rope
L01_V001,055.jpg,a sence in a river with a lot of people on it. there are many people standing on the shore of a river
L01_V001,056.jpg,a sence in a green suit is sitting on a boat. there are two people in a boat on the water
L01_V001,057.jpg,a sence in a boat with two people in it. there are two people in a boat in the water
L01_V001,058.jpg,a sence in a blue shirt is standing in front of a poster. there are a lot of people standing in front of a sign
L01_V001,059.jpg,a sence in a crowd of people standing in front of a screen. there are many people standing in a crowd at a festival
L01_V001,060.jpg,a sence in a pink shirt is reading a book. there are a lot of people on the water and a woman is reading a book
L01_V001,061.jpg,a sence in a crowd of people sitting in chairs. there are many people sitting in chairs and one is wearing a hat
L01_V001,062.jpg,a sence in a blue shirt is standing in front of a poster. there are people standing in a boat on the water
L01_V001,063.jpg,a sence in a blue shirt is standing in front of a lake. there are a lot of people that are standing in the water
L01_V001,064.jpg,a sence in a blue shirt is standing in front of a lake. there are a lot of people that are standing in front of a lake
L01_V001,065.jpg,a sence in a boat in the water with a banner on it. there are people on a boat in the water with a banner
L01_V001,066.jpg,a sence in a village on the water with people standing around. there are many people standing on the shore of a river
L01_V001,067.jpg,a sence in a boat with a man and a woman in a red hat. there are two people in a boat with a dog on the water
L01_V001,068.jpg,a sence in a boat with a dog and a man in a red hat. there are two people in a boat with a dog on the water
L01_V001,069.jpg,a sence in a white shirt is smiling and looking at the camera. there are two people that are smiling and talking together
L01_V001,070.jpg,a sence in a tv program with a man and a woman. there are two people that are looking at a cell phone
L01_V001,071.jpg,a sence in a mirror with a man and woman in the reflection. there are two people standing in a mirror with a plant
L01_V001,072.jpg,a sence in a pink box with a man holding a pink box. there are two men that are holding a box of money
L01_V001,073.jpg,a sence in a blue shirt is lying on the table with a knife. there are two people that are playing with a man on the table
L01_V001,074.jpg,a sence in a green hat talking to another man. there are two men talking to each other in a room
L01_V001,075.jpg,a sence in a hat is sitting in a room. there are two men sitting at a table with a hat on
L01_V001,076.jpg,a sence in a house looking out the window at a man. there are two men standing outside of a building with a red balloon
L01_V001,077.jpg,a sence in a brown shirt is standing outside of a house. there are two men standing outside of a building with a sign
L01_V001,078.jpg,a sence in a tv adverting a woman walking down a street. there are two people walking down the street in front of a building
